Reference, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"Q1","MJH11021G","","~"
"Q7","MJH11022G","","~"
"R3","4.7k","","~"
"R1","10k","","~"
"R7","330","","~"
"D1","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D7","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J3","to_solenoid_2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R11","330","","~"
"Q5","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q3","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D3","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R5","330","","~"
"J1","input_trigger_2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C5","10µF","","~"
"C3","10nF","","~"
"U1","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R9","10k","","~"
"R13","2k","","~"
"Q9","MJH11021G","","~"
"Q15","MJH11022G","","~"
"R16","4.7k","","~"
"R15","10k","","~"
"R21","330","","~"
"D9","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D12","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D15","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J7","to_solenoid_4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R25","330","","~"
"Q13","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q11","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D10","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R19","330","","~"
"J5","input_trigger_4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C7","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C12","10µF","","~"
"C9","10nF","","~"
"U3","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R22","10k","","~"
"R27","2k","","~"
"Q17","MJH11021G","","~"
"Q23","MJH11022G","","~"
"R31","4.7k","","~"
"R29","10k","","~"
"R35","330","","~"
"D18","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D22","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D24","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J12","to_solenoid_6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R39","330","","~"
"Q21","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q19","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D19","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R33","330","","~"
"J10","input_trigger_6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C14","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C19","10µF","","~"
"C17","10nF","","~"
"U6","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R37","10k","","~"
"R41","2k","","~"
"Q2","MJH11021G","","~"
"Q8","MJH11022G","","~"
"R4","4.7k","","~"
"R2","10k","","~"
"R8","330","","~"
"D2","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D6","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D8","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J4","to_solenoid_1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R12","330","","~"
"Q6","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q4","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D4","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R6","330","","~"
"J2","input_trigger_1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C2","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C6","10µF","","~"
"C4","10nF","","~"
"U2","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R10","10k","","~"
"R14","2k","","~"
"Q18","MJH11021G","","~"
"Q24","MJH11022G","","~"
"R32","4.7k","","~"
"R30","10k","","~"
"R36","330","","~"
"D20","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D23","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D25","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J13","to_solenoid_5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R40","330","","~"
"Q22","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q20","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D21","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R34","330","","~"
"J11","input_trigger_5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C16","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C20","10µF","","~"
"C18","10nF","","~"
"U7","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R38","10k","","~"
"R42","2k","","~"
"Q10","MJH11021G","","~"
"Q16","MJH11022G","","~"
"R18","4.7k","","~"
"R17","10k","","~"
"R23","330","","~"
"D11","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D14","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D16","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J8","to_solenoid_3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R26","330","","~"
"Q14","MPSA42","digikey-footprints:TO-92-3","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/MPSA42-D.PDF","/product-detail/en/on-semiconductor/MPSA42/MPSA42FS-ND/32397","TRANS NPN 300V 0.5A TO-92","MPSA42FS-ND","Transistors - Bipolar (BJT) - Single","MPSA42","ON Semiconductor","Active"
"Q12","MPSA42","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D13","1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R20","330","","~"
"J6","input_trigger_3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C8","680pF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"C13","10µF","","~"
"C10","10nF","","~"
"U4","LM555xM","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"R24","10k","","~"
"R28","2k","","~"
"U5","LM2596T-12","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"D17","1N5820","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"L1","33µH","Inductor_THT:L_Radial_D7.5mm_P3.50mm_Fastron_07P","~"
"C11","680µF","","~"
"C15","220µF","","~"
"J9","Barrel_Jack_MountingPin","digikey:Barrel_Jack_5.5mmODx2.1mmID_PJ-202A","~"
